index,title,description,keywords
11,Thai Green Curry,"This spicy and flavorful curry features coconut milk, green curry paste, and a variety of vegetables and proteins. Serve over rice for a complete meal.","Spicy, flavorful, coconut milk"
12,Grilled Chicken with Mango Salsa,"This dish is a delicious and healthy way to enjoy grilled chicken. The salsa is made with fresh mango, red onion, and lime juice, and is a perfect complement to the chicken.","Healthy, delicious, sweet"
13,Quinoa Stuffed Bell Peppers,"This vegetarian dish is loaded with protein and flavor. The bell peppers are stuffed with quinoa, black beans, and vegetables, and are baked until tender and golden.","Vegetarian, protein, flavorful"
14,Turkish Lentil Soup,"This hearty soup is made with red lentils, vegetables, and spices, and is perfect for a cold winter day. Serve with crusty bread for a satisfying meal.","Hearty, healthy, perfect for cold weather"
15,Baked Sweet Potato Fries,"These fries are a healthy alternative to traditional French fries. Simply slice sweet potatoes into wedges, toss with olive oil and spices, and bake until crispy and golden.","Healthy, alternative to French fries, crispy"
16,Greek Yogurt Parfait,"This breakfast or snack is a healthy and delicious way to start your day or satisfy your sweet tooth. Layer Greek yogurt with fresh fruit, granola, and a drizzle of honey for a satisfying treat."," healthy, sweet, breakfast, snack"
17,Caprese Salad,"This classic Italian salad features fresh mozzarella, tomatoes, and basil, and is drizzled with balsamic vinegar and olive oil. It's a light and refreshing salad that's perfect for summer.","Italian, refreshing, summer, light"
18,Lentil and Vegetable Stir-Fry,"This stir-fry is loaded with protein and vegetables, making it a healthy and satisfying meal. Serve with brown rice or quinoa for a complete meal.","healthy, protein, vegetables, stir-fry"
19,Grilled Chicken and Vegetable Skewers,"These skewers are a perfect way to enjoy grilled chicken and vegetables. Simply marinate the chicken and vegetables in a simple herb and olive oil mixture, then grill until tender and charred.","grilled, chicken, vegetables, easy"
20,Shrimp and Avocado Salad,"This salad features fresh shrimp, avocado, and a variety of vegetables, all tossed in a simple vinaigrette. It's a light and refreshing meal that's perfect for lunch or dinner.","seafood, refreshing, light, salad"
21,Cauliflower Fried Rice,"This low-carb and healthy version of fried rice is made with grated cauliflower, vegetables, and protein of your choice. Toss with soy sauce and sesame oil for a satisfying meal.","Cauliflower, Fried Rice, Healthy, Low-Carb"
22,Mexican Grilled Corn Salad,"This salad features grilled corn, black beans, tomatoes, and avocado, all tossed in a simple lime and cilantro dressing. It's a healthy and flavorful side dish that's perfect for summer BBQs.","Mexican, Grilled Corn, Salad, BBQ"
23,Moroccan Spiced Chickpea Soup,"This hearty soup is made with chickpeas, vegetables, and Moroccan spices like cumin and paprika. It's a comforting and satisfying meal that's perfect for a cold winter day.","Moroccan, Chickpea Soup, Winter"
24,Vietnamese Pho Soup,"This classic Vietnamese soup features beef or chicken broth, rice noodles, herbs, and meat of your choice. It's a flavorful and healthy soup that's perfect for a cozy night in.","Vietnamese, Pho Soup, Noodles, Broth"
25,Roasted Vegetable Buddha Bowl,"This bowl is loaded with roasted vegetables, quinoa, chickpeas, and a tahini dressing. It's a healthy and satisfying meal that's easy to customize with your favorite ingredients.","Roasted Vegetable, Buddha Bowl, Quinoa"
26,Italian Caprese Quinoa Bowl,"This bowl features quinoa, fresh mozzarella, tomatoes, and basil, all tossed in a balsamic vinaigrette. It's a healthy and flavorful meal that's perfect for lunch or dinner.","Italian, Caprese Quinoa Bowl, Fresh Mozzarella"
27,Korean Bibimbap Bowl,"This bowl features rice, vegetables, meat or tofu, and a spicy gochujang sauce. It's a flavorful and healthy meal that's perfect for a quick and easy dinner.","Korean, Bibimbap Bowl, Gochujang Sauce"
28,Spanish Gazpacho Soup,"This chilled soup is made with fresh vegetables like tomatoes, cucumbers, and bell peppers, and is perfect for a hot summer day. Serve with crusty bread for a satisfying meal.","Spanish, Gazpacho Soup, Chilled, Vegetables"
29,Thai Papaya Salad,"This salad features shredded green papaya, carrots, tomatoes, and herbs, all tossed in a spicy and tangy dressing. It's a refreshing and healthy salad that's perfect for a light lunch or dinner.","Thai, Papaya Salad, Tangy Dressing"
30,Indian Chickpea and Vegetable Curry,"This curry is made with chickpeas, vegetables, and Indian spices like cumin and coriander. Serve with rice or naan bread for a satisfying and healthy meal.","Indian, Chickpea Curry, Vegetables, Spices"
31,Mexican Quinoa Stuffed Peppers,"These stuffed peppers are loaded with quinoa, black beans, vegetables, and spices, and are baked until tender and golden. It's a healthy and flavorful meal that's perfect for a dinner party or a family meal.","Mexican, Quinoa Stuffed Peppers, Baked"
32,Greek Chicken Gyro Salad,"This salad features all the classic gyro ingredients like chicken, tomatoes, cucumbers, and tzatziki sauce, all served over a bed of greens. It's a healthy and flavorful salad that's perfect for lunch or dinner.","Greek, Chicken Gyro Salad, Tzatziki Sauce"
33,Vietnamese Summer Rolls,"These fresh and healthy rolls are made with rice paper, vegetables, herbs, and protein of your choice. Dip in a peanut or hoisin sauce for a satisfying and healthy snack or appetizer.","Vietnamese, Summer Rolls, Rice Paper, Herbs"
34,Moroccan Carrot and Chickpea Salad,"This salad is made with roasted carrots, chickpeas, and a variety of Moroccan spices like cumin and cinnamon. Toss with a simple vinaigrette for a healthy and satisfying side dish.","Moroccan, Carrot Salad, Chickpeas, Roasted"
35,Italian Bruschetta Chicken,"This dish features grilled chicken topped with a tomato and basil bruschetta, all served over a bed of greens. It's a healthy and flavorful meal that's perfect for a summer dinner party.","Italian, Bruschetta Chicken, Grilled, Tomato"
36,Japanese Teriyaki Salmon,"This dish features grilled salmon topped with a sweet and savory teriyaki glaze, all served over a bed of rice","Japanese, Teriyaki Salmon, Glaze, Rice"
37,Moroccan Chickpea Stew,"This hearty stew is packed with flavor and nutrition. The chickpeas are simmered with a blend of spices, tomatoes, and vegetables, making it a perfect meal for a chilly evening.","Moroccan, Chickpea Stew, Nutrition, Flavor"
38,Grilled Portobello Mushroom Burger,"This vegetarian burger is a healthy and delicious alternative to a traditional beef burger. Marinated portobello mushrooms are grilled and topped with your favorite toppings for a satisfying meal.","Grilled, Portobello Mushroom Burger, Vegetarian"
39,Spanish Gazpacho,"This refreshing cold soup is made with fresh tomatoes, cucumbers, and bell peppers, and is perfect for a hot summer day. Serve with crusty bread for a light and healthy meal.","Spanish, Gazpacho, Cold Soup, Tomatoes"
40,Vietnamese Summer Rolls,"These fresh and healthy summer rolls are made with rice paper, vermicelli noodles, vegetables, and protein, such as shrimp or tofu. Serve with a peanut dipping sauce for a satisfying meal.","Vietnamese, Summer Rolls, Vermicelli, Peanut Sauce"
41,Greek Yogurt and Fruit Parfait,"This easy and healthy breakfast or snack is made with Greek yogurt, fresh fruit, and granola. It's a perfect way to start your day or satisfy your sweet tooth.","Greek Yogurt, Fruit Parfait, Healthy, Breakfast"
42,Blackened Shrimp Tacos,"These tacos are packed with flavor and protein. The shrimp is coated in a spicy blackening seasoning and is served in a soft taco shell with avocado, salsa, and lime.","Blackened, Shrimp Tacos, Spicy, Avocado"
43,Israeli Couscous Salad,"This Mediterranean-inspired salad is made with Israeli couscous, a small pasta that is cooked and tossed with vegetables, herbs, and a simple vinaigrette. Serve as a side or add chicken or tofu for a complete meal.","Israeli, Couscous Salad, Mediterranean, Vinaigrette"
44,Indian Spiced Cauliflower,"This vegetarian dish is loaded with flavor and nutrition. The cauliflower is roasted with a blend of Indian spices, making it a perfect side dish or main course.","Indian, Spiced Cauliflower, Vegetarian, Flavorful"
45,Balsamic Glazed Grilled Vegetables,"This colorful and healthy side dish is made with a variety of vegetables, such as zucchini, peppers, and onions, that are grilled and coated in a sweet and tangy balsamic glaze.","Balsamic Glazed, Grilled Vegetables, Healthy, Side Dish."
46,Tofu and Vegetable Stir-Fry,"This vegan stir-fry is a healthy and easy way to incorporate more vegetables and plant-based protein into your diet. Serve over brown rice for a satisfying meal.","Tofu, Vegetable, Stir-Fry, Vegan"
47,Spinach and Feta Stuffed Chicken Breasts,"These chicken breasts are stuffed with spinach and feta cheese, making it a flavorful and healthy main course. Serve with a side of roasted vegetables for a complete meal.","Spinach, Feta, Stuffed, Chicken, Breasts"
48,Lentil and Vegetable Shepherd's Pie,"This vegetarian twist on the classic Shepherd's pie is made with lentils, vegetables, and a creamy mashed potato topping. It's a hearty and satisfying meal that's perfect for a cold winter day.","Lentil, Vegetable, Shepherd's Pie, Vegetarian"
49,Korean Bibimbap,"This Korean rice bowl features a variety of vegetables, protein, and a spicy gochujang sauce. Serve with a fried egg on top for a complete and satisfying meal.","Korean, Bibimbap, Rice Bowl, Gochujang"
50,Grilled Mahi Mahi with Mango Salsa,"This grilled fish dish is loaded with tropical flavors. The mahi-mahi is marinated in a blend of spices and topped with a fresh and tangy mango salsa.","Grilled, Mahi Mahi, Mango Salsa, Tropical"
